Name	Hindi_lang
Arabic	अरबी
Aribwatsa	अरीबवत्स
Arabic	अरबी
Araki	अर्की
Arabic	अरबी
Armenian	अर्मेनियाई
Arabic	अरबी
Arosi	अरसी
Arapesh	अर्पेश
Arabic	अरबी
Arrernte	गिराने की क्रिया या भाव
Arabic	अरबी
Arabic	अरबी
Armenian	अर्मेनियाई
'Are'are	'कर रहे हैं
Armenian	अर्मेनियाई
Adyghe	अदिघे
American Sign Language	अमेरिकी सांकेतिक भाषा
Asmat	अस्मत
Altai	अल्ताई
Assamese	असमिया
Asturian	स्वर्ग
Arabic	अरबी
Atayal	आत्याल
Aralle-Tabulahan	अर्ले-तबलुहन
Atchin	अचिन
Athpare	अथापर
Atikamekw	अतीकेमकेव
Atakapa	अताकापा
Alutiiq	अलुतिक़
Atsugewi	अत्सुगुवाई
Arabic	अरबी
Au	औ
Aulua	औलुआ
Auslan	औसलन
Auyana	औयाना
Avar	अवार
Avikam	अविकम
Avokaya	अवोकेया
Avatime	अवतरण
Awa	आवा
Awadhi	अवधी
Arrernte	एरेर्नेट
Aekyom	आक्योम
Akwa	अकवा
Awngi	अवंगी
Awa Pit	आवा पिट
Awtuw	अस्तु
Awyi	अवी
Akhvakh	अखवाख
Anyi	एनी
Aymara	आयमारा
Aynu	अयनू
Ayoreo	अयोरे
Ayiwo	अइवो
Azerbaijani	अज़रबैजानी
Azari	अज़ारी
Barai	बरई
Babungo	बबुंगो
Bachamal	बचमाल
Bade	बाडे
Bafut	बाफुत
Bagirmi	बगमीरी
Xiriana	ज़िरियाना
Bai	बाई
Bajau	बजाऊ
Baka	बाका
Balinese	बालिनी
Bambara	बम्बारा
Bana	बाना
Bao'an	बावन
Baure	चारा
Bari	बारी
Batak	बटुक
Bau	बाऊ
Bawm	बावम
Babole	बाबोल
Bambam	मस्त है
Barambu	बारम्बु
Bininj Gun-Wok	बिनिनज गुन-वोक
Bandjalang	बैंडजालंग
Berber	बर्बर
Bella Coola	बेला कुला
Berbice Dutch Creole	बर्बिस डच क्रेओल
Badaga	बडगा
Budukh	बुधु
Badimaya	बदिमाया
Budu	बुडू
Baham	बहम
Benabena	बेनाबेना
Bengali	बंगाली
Beembe	बेम्बे
Begak-Ida'an	बेगक-इदैन
Beja	बेजा
Belhare	बेलहारे
Bemba	बेम्बा
Bengali	बंगाली
Beothuk	बेतुक
Berta	बर्टा
Bezhta	बेजता
Biafada	बियाफ़डा
Berber	बर्बर
Bafia	बाफिया
Benga	बेंगा
Banggai	बँगाई
Bagri	बागड़ी
Buglere	बगलेरे
Bangime	बैंगाइम
Bugun	बुगुन
Bongo	बोंगो
Bagiro	बगरियो
Baga Sitemu	बैगा सीतामऊ
Bagvalal	बगवाल
Banggi	बंगी
Bhili	भीली
Bahinemo	बहिनमो
Bhojpuri	भोजपुरी
Bhumij	भौमिज
Bila	बिला
Bidiya	बिदिया
Binga	बिंगा
Biri	बीरी
Biak	बायक
Bilua	बिलुआ
Bima	बिमा
Binandere	बिनांडरे
Nai	नाइ
Bilaan	बिलन
Birom	बायोम
Bisa	बीसा
Biatah	बिताह
Bisu	बिसु
Sama	समा
Baka	बका
Betta Kurumba	बेट्टा कुरुम्बा
Binukid	बिनुकिद
Bikol	बिकोल
Bakundu	बैकुंठ
Batak	बटक
Brokskat	ब्रक्सकट
Bakueri	बकुरी
Blackfoot	ब्लैकफुट
Baluchi	बलूची
Baule	बाउल
Balangao	बलांगो
Baale	बाले
Balantak	बालंतक
Bilin	बिलिन
Bole	बोले
Belorussian	बेलोरूसियन
Balti	बलती
Bena-Lulua	बेना-लुलुआ
Biloxi	बिलोक्सी
Balyku	बाल्यकु
Balanta	बलंता
Berber	बर्बर
Bimoba	बिंबा
Bamun	बामुन
Burum	बरुम
Berber	बर्बर
Bunuba	बनुबा
Bandi	बांदी
Qaget	क़गेट
Bini	बिनी
Bandjalang	बंजलंग
Bankon	विश्वास करना
Banggarla	बंगरगला
Binumarien	बिनुमारिन
Banoni	बनौनी
Waimaha	वइमहा
Beng	बेंग
Bilinarra	बिलिनिर्रा
Bantik	बैंटिक
Bularnu	बुलारनु
Baniva	बनिवा
Baniwa	बनियावा
Boazi	बोआजी
Bobangi	बोबांगी
Bodo	बोडो
Boiken	बोइकेन
Bori	बोरी
Boko	बोको
Bolia	बोलिया
Bongu	बोंगू
Bokar	बोकर
Bora	बोरा
Bosnian	बोस्नियाई
Berber	बर्बर
Bozo	बोजो
Bura-Pabir	बूरा-पाबीर
Bahnar	बहन्नर
Basque	बास्क
Basque	बास्क
Basque	बास्क
Basque	बास्क
Basque	बास्क
Basque	बास्क
Basque	बास्क
Basque	बास्क
Basque	बास्क
Basque	बास्क
Brao	ब्रो
Bariba	बारिबा
Boruca	बोरूका
Bardi	बाड़ी
Breton	ब्रेटन
Berber	बर्बर
Brahui	ब्राहुई
Bribri	रिश्वत
Burji	बुर्जी
Berik	बेरीक
Baragaunle	बैरागनल
Burmese	बर्मी
Burunge	बरगद
Broken	टूटा हुआ
Barupu	बारुपु
Bera	बेरा
Bororo	बोरो
Barasano	बरसाना
Bru	ब्रू
Bru	ब्रू
Baruya	बरुआ
Birri	बिर्री
Berber	बर्बर
Bushoong	बुशॉन्ग
Berber	बर्बर
Bashkir	बशकिर
British Sign Language	ब्रिटिश सांकेतिक भाषा
Bislama	बिस्लामा
Basque	बास्क
Basque	बास्क
Basari	बसारी
Bathari	बथारी
Betoi	बेटोई
Bontok	बंटोक
Batak	बटक
Burarra	बुरारा
Bubi	बुबी
Buduma	बुडुमा
Bugis	बुगिस
Buli	Buli
Bujeba	बुजेबा
Bukusu	बकुसु
Bulgarian	बल्गेरियाई
Buma	बुमा
Buin	Buin
Burushaski	बुरुशकी
Busa	बुसा
Buriat	बरियात
Buru	बुरु
Bulu	बुलु
Buli	Buli
Bali-Vitu	बाली-विटु
Bandjalang	बंदजालंग
Bajau	बजाऊ
Bayungu	बायंगु
Byansi	बायसी
Bayso	बायसो
Bandjalang	बंदजालंग
Bauzi	बाजी
Cacua	कछुआ
Caddo	कड्डो
Cahuilla	काहिला
Chai	चाई
Cakchiquel	Cakchiquel
Candoshi	कैंडोशी
Capanahua	कपानहुआ
Carib	कैरिब
Cashibo	कैशिबो
Catio	अनुपात
Campa	कैम्पा
Cayapa	केयापा
Chumash	चुमाश ओ)
Chocho	चोचो
Chickasaw	चिकसाव
Chinantec	चिनेंटेक
Chasta Costa	चस्टा कोस्टा
Cocopa	कोकपा
Choctaw	चोक्टाव
Carib	कैरिब
Cree	क्री
Cebuano	सिबुआनो
Chicomuceltec	चिकोमुकेल्टेक
Chaga	चागा
Chamorro	चमोरो
Chambri	चम्बरी
Chechen	चेचन
Chaudangsi	चौडांगी
Cherokee	चेरोकी
Chang	चांग
Chaha	चहा
Chimariko	चिमारिको
Chuj	चुज
Chukchi	चुच्ची
Chehalis	चेहलिस
Chamalal	चमलाल
Chantyal	चन्याल
Chontal	चोंटल
Chipewyan	चिपवयन
Chinantec	चिनेंटेक
Chrau	चरु
Chin	चिन
Chatino	चैटिनो
Nivacle	Nivacle
Chuvash	चुवाश
Cham	चम
Chontal	चोंटल
Chayahuita	च्यहुइता
Chichewa	चिचेवा
CiLuba	सिउलबा
Chumash	चुमाश ओ)
Chichimeca-Jonaz	चिचिम्का-जोनाज़
Cheke Holo	चोको होलो
Chinook	चिनूक
Chinook	चिनूक
Clallam	क्ललम
Colac	कोलाक
Chaldean	चेल्डेन
Chinantec	चिनेंटेक
Chulym	चुलिम
Chimila	चीमिला
Comecrudo	Comecrudo
Cham	चम
Chemehuevi	चेमेहुवी
Chemakum	चेमाकुम
Camling	चुगली करना
Comanche	कॉमंच
Chin	चिन
Comox	Comox
Chontal Maya	चोंटल माया
Canela	कैनेला
Cantonese	कैंटोनीज़
Coahuilteco	कोआहिल्लितेको
Cocama	कोकामा
Coeur d'Alene	Coeur d'Alene
Cogui	कोगुई
Chol	चोल
Comorian	कोमोरियन
Coos	कूस
Coptic	कॉप्टिक
Cora	कोरा
Rumsien	रम्सियन
Campa Pajonal Asheninca	कैम्पा पाजोनल अशीनिंका
Chinantec	चिनेंटेक
Chepang	चेपांग
Chippewa	चिप्पेवा
Chipaya	चिपया
Chiquitano	
Cree	
Chiriguano	चिरिगुआनओ
Chru	चुरू
Crimean Tatar	क्रीमियन तातार
Carijona	कैरिजोना
Creek	क्रीक
Carolinian	कैरोलिनियन
Cornish	कोर्निश
Crow	कौआ
Carapana	कारापाना
Carrier	वाहक
Chorote	कोरोटे
Chinantec	चिनेंटेक
Chinantec	चिनेंटेक
Cashinahua	कैशिनहुआ
Diola-Kasa	डायला-कासा
Chinese Sign Language	चीनी सांकेतिक भाषा
Chatino	चैटिनो
Cuicatec	Cuicatec
Chinantec	चिनेंटेक
Chin	चिन
Catalan	कैटलन
Chitimacha	चिटिमचा
Chatino	चैटिनो
Catawba	कैटावबा
Cua	कुआ
Cubeo	घन
Cuica	Cuica
Cuiba	क्यूइबा
Culina	कुलिना
Chumburung	चुम्बुरंग
Curripaco	कर्पूरको
Cuitlatec	Cuitlatec
Chuukese	चौकीज
Chavacano	चवाकोनो
Chuave	चुवे
Columbia-Wenatchi	कोलंबिया-वेनेची
Chatino	चैटिनो
Cayuga	केयुगा
Cheyenne	चेयेने
Cayuvava	केवुवा
Czech	चेक
Da'a	Da'a
Daba	डाबा
Dadibi	दादिब
Daga	डागा
Dahalo	दहलो
Dakota	डकोटा
Damana	दमना
Dan	दान
Darai	दराई
Datooga	दत्तयोग
Day	दिन
Dabida	दबिदा
Dutch	डच
Dumagat	डुमगाट
Dhuwal	धुवाल
Daju	दाजु
Donno So	डोनो सो
Defaka	डेकाका
Degema	डीगमा
Dla	डाला
Desano	डेसानो
Deti	Deti
Deuri	देउरी
Dagaare	दागारे
Dagbani	दागबनी
Dogri	डोगरी
Dongo	डोंगो
Dagur	दागुर
Degexit'an	डेगेक्सिटैन
Dhaasanac	धसानक
Dharumbal	धरमबल
Dhivehi	धिवेही
Dhalandji	धनलैंडजी
Dhimal	ढिमल
Dhargari	धारगारी
Dhurga	दुर्गा
Dharawal	धरावल
Didinga	डिडिंगा
Digaro	डिगरो
Dime	डाइम
Dinka	दिनका
Diola-Fogny	डायला-फोगनी
Diyari	दियारी
Dizi	डिजी
Djabugay	दूबगाय
Djingili	जिंगिली
Djambarrpuyngu	Djambarrpuyngu
Djinang	जिनांग
Djapu	Djapu
Djaru	Djaru
Dutch	डच
Dla	डाला
Duma	डूमा
Dumi	दूमी
Domaaki	दोमाकी
Dimasa	दिमसा
Ding	डिंग
Dani	दानी
Dobel	डोबेल
Doko	डोको
Dolgan	डोलगन
Domari	डोमरी
Dong	डोंग
Doutai	दोताई
Doyayo	दोययो
Drehu	द्रुह
Dargwa	दरगवा
Dari	दारी
Darma	कर्म
Danish	दानिश
Toro So	तोरो तो
Duala	द्वैत
Dullay	दुल्ले
Duka	डोका
Dulong	दुलंग
Dumo	डुमो
Duna	दूना
Dutch	डच
Dutch	डच
Dyirbal	दिरबल
Dyimini	डायमिनी
Dyula	दयौला
Ebira	एबिरा
Edolo	एडोलो
Efik	इफिक
Ega	ईगा
Engenni	इंगेंनी
Eipo	ईपो
Ejagham	ईजगम
Ekari	एकरी
Ekoti	एकोती
Elseng	एल्सेंग
Embera Chami	एम्बर चामी
Embaloh	अम्बालोह
Emmi	अम्मी
Enga	इंजी
Enets	एनसेट करता है
English	अंग्रेज़ी
Enggano	एंगगनो
Enya	एन्या
Epena Pedee	एपिना पेडी
Efate	Efate
Erromangan	एरोमंगन
Ese Ejja	एसे ईजा
Esselen	एस्सेलेन
Estonian	एस्टोनियाई
Etsako	इत्सको
Eudeve	एदेवे
Evenki	इवनकी
Even	यहाँ तक की
Ewe	ईवे
Ewe	ईवे
Ewondo	इवांडो
Eyak	आईक
Faroese	प्रेमी
Fasu	फासु
Fula	फूला
Frisian	पश्चिमी
Fe'fe'	फे'फ '
Fula	फूला
Fijian	फिजियन
Finnish	फिनिश
Fiote	को बढ़ावा देना
Fijian	फिजियन
Ful	फुल
Fula	फूला
Fulfulde	फुलफुड
Frisian	पश्चिमी
Foe	धिक्कार है
Fongbe	फोंगबे
Fore	हमेशा के लिए
Fox	लोमड़ी
Momu	मोमु
Fordata	फोर्डटा
French	फ्रेंच
Frisian	पश्चिमी क्षेत्र
Frisian	पश्चिमी
Finnish Sign Language	फिनिश सांकेतिक भाषा
Fulfulde	फुलफूड
Futuna	फ़्यूचूना
Fulfulde	फुलफूड
Fur	फर
Fula	फूला
Futuna-Aniwa	फुटुना-अनीवा
Fuzhou	फूजो
Fyem	फईम
Gaagudju	गागुडजू
Gade	गाडे
Gaelic	गेलिक
Gagauz	गागुज
Gahuku	गहुकु
Galo	गैलो
Gamo	गामो
Great Andamanese	महान अंडमानी
Gapapaiwa	गपपइवा
Garo	गारो
German	जर्मन
Gayo	गायो
German	जर्मन
Gbeya Bossangoa	गबेया बोसांगोआ
Guinea Bissau Crioulo	गिन्नी बिसाउ क्रायलो
German	जर्मन
Gbaya	Gbaya
German	जर्मन
Gbaya	Gbaya
Greek	ग्रीक
Gutob	गुटोब
Guduf	गुदुफ
Gadaba	गडाबा
Guadeloupe Creole	गुआदेलूप क्रेओल
Gidar	गिडार
Gadsup	गदसप
Gela	गेला
Georgian	जॉर्जियाई
German	जर्मन
Guianese French Creole	गुआनीज़ फ्रेंच क्रियोल
Gugadj	गुगदज
Gureng Gureng	गुरेंग गुरेंग
German	जर्मन
Guahibo	गुहिबो
Ghotuo	घोटुओ
Bunan	बान
Gidabal	गीदबल
Gilaki	गिलकी
Gimira	गिमिरा
Gula Iro	गुला इरो
Gitksan	गीताक्षन
Giziga	Giziga
Gurindji	गुरिन्दजी
Guajajara	गुज्जारा
Gelao	गेलो
Galician	गैलिशियन
Galela	गैला
Golin	गोलिन
Gaalpu	गालपु
German	जर्मन
Guambiano	ग्वाम्बियानो
Gamilaraay	गामिलराय
Gumatj	गुमतज
Gumawana	गुमवाना
Gumuz	गुमुज
Guana	गुनाह
Gunbalang	गुनबलंग
Ga'anda	Ga'anda
Gunin	गुनिन
Guanano	गुआनानो
Gunya	गुनिया
Goajiro	गूजीरो
Godoberi	देवबंदी
Goemai	गोइमाई
Gogodala	गोगोडाला
Gojri	गोजरी
Gokana	गोकरण
Gola	गोला
Gondi	गोंडी
Gooniyandi	गोयनंदी
Gorowa	गोरोवा
German	जर्मन
German	जर्मन
Grebo	ग्रीबो
Greenlandic	ग्रीनलैंडिक
Gurr-goni	गुर्र-गोनी
Greek	ग्रीक
Gurma	गुरमा
Gurenne	गुरें
Guro	गुरो
German	जर्मन
Garrwa	गरवा
Garus	गरस
Gorontalo	गोरोन्तालो
Greenlandic	ग्रीनलैंडिक
Greek Sign Language	ग्रीक सांकेतिक भाषा
Greenlandic	ग्रीनलैंडिक
German	जर्मन
German	जर्मन
German	जर्मन
Gude	यार
Guere	गेरे थे
Gupapuyngu	गोप्पुयनगु
Gugada	गुगाड़ा
Guhu-Samane	गुहू-समाने
Gujarati	गुजराती
Gula	गुला
Gumbaynggir	गुंबजयंगिर
Gunu	गोनू
Guaque	गुटका
Gurung	गुरुंग
Gusii	गुसाईं
Guugu Yimidhirr	गुगु यिमिधिर
Gungbe	गूंजा
German	जर्मन
Gwari	गिरि
German	जर्मन
Gworok	गोरवोक
Guayabero	ग्वायबेरो
Gyarong	ग्यारॉन्ग
German	जर्मन
Hadza	हदज़ा
Haida	हैदा
Hakka	हक्का
Halia	हलिया
Hamtai	हमताई
Hani	हानी
Haruai	हरुइ
Hatam	हाटम
Hausa	होसा
Havasupai	हवासुपाई
Hawaiian	हवाईयन
Hayu	हायू
Hebrew	हिब्रू
Haitian Creole	हाईटियन क्रियोल
Hdi	हदि
Hebrew	हिब्रू
Hehe	हेहे
Heiltsuk	Heiltsuk
Hemba	हेम्बा
Herero	बगुला
Hanga Hundi	हँगा हुंडी
Hianacoto	हियानकोतो
Hidatsa	हिदत्सा
Hiligaynon	हिलिगायोन
Hindi	हिन्दी
Hixkaryana	हिक्सकार्यण
Hong Kong Sign Language	हांगकांग सांकेतिक भाषा
Halbi	हल्बी
Halkomelem	Halkomelem
Halang	हलांग
Hualapai	Hualapai
Halkomelem	Halkomelem
Hmar	हमार
Huambisa	हंबिसा
Hmong Daw	हमोंग दाव
Huitoto	हुइतोटो
Hmong Njua	हमोंग नजुआ
Hamer	हामर
Huitoto	Huitoto
Mina	मीना
Hunde	हंडे
Hinuq	हिनुक
Haida	हैदा
Ho	हो
Hoava	होवा
Min	मिन
Holoholo	होलोहोलो
Hopi	होपी
Hup	हप
Hre	हरे
Harari	हरारी
Harsusi	हरसुसी
Haisla	हिसला
Huastec	Huastec
Hua	हुआ
=|Hoan	= | होन
Huichol	Huichol
Huitoto	Huitoto
Hungarian	हंगेरियन
Hupa	हुपा
Huave	हुवे
Hawaiian Creole	हवाईयन क्रियोल
Hawrami	हरामि
Haya	हया
Hyow	हाय
Hunzib	हुन्जीब
Iaai	इया ai
Iatmul	इत्तमुल
Iau	Iau
Iban	इबान
Ibibio	इबियो
Ibanag	इबानबाग
Icelandic	आइसलैंडिक
Icelandic Sign Language	आइसलैंडिक सांकेतिक भाषा
Iduna	इडुना
Idoma	इदोमा
Idu	इडु
Italian	इतालवी
Ifumu	इफुमु
Ifugao	इफुगाओ
Inga	इनगा
Igbo	इग्बो
Igede	Igede
Ignaciano	इग्नासीनो
Ingessana	इंगसाना
Iha	इहा
Indonesian	इंडोनेशियाई
Ijo	Ijo
Ik	इक
Ika	इका
Ila	इला
Illinois	इलिनोइस
Ilocano	Ilocano
Imonda	इमोंडा
Inanwatan	इनानवतन
Indonesian	इंडोनेशियाई
Ingush	इंगुश
Indonesian	इंडोनेशियाई
Innamincka	इन्नामिनेका
Inuktitut	इनूकीटूत्
Inuktitut	इनूकीटूत्
Indo-Pakistani Sign Language	भारत-पाकिस्तान सांकेतिक भाषा
Indo-Pakistani Sign Language	इंडो-पाकिस्तानी साइन लैंग्वेज
Inuktitut	इनक्यूटिलेट
Iquito	Iquito
Irish	आयरिश
Irish	आयरिश
Irish	आयरिश
Iraqw	इराक ने
Irarutu	इरारतु
Irish Sign Language	आयरिश सांकेतिक भाषा
Iranxe	ईरानी
I'saka	मैं आका
Isekiri	इसेकिरी
Ishkashmi	इश्क़मी
Isirawa	इशीरावा
International Sign	इंटरनेशनल साइन
Isnag	इसनाग
Isoko	इसोको
Israeli Sign Language	इजरायली सांकेतिक भाषा
Italian	इतालवी
Italian	इतालवी
Itelmen	Itelmen
Italian	इतालवी
Italian	इतालवी
Itonama	इटोनाम
Italian	इटालियन
Itawis	इटाविस
Itzaj	इत्जज
Ivatan	इवतन
Iwaidja	इवादिजा
Iwam	इवम
Ixcatec	Ixcatec
Ixil	Ixil
Izhor	Izhor
Izi	इजी
Jad	जद
Jahai	जही
Jakaltek	जकलटेक
Jaminjung	जामिनजंग
Jaqaru	जकरु
Jarawa	जारवा
Javanese	जवानी
Jamaican Creole	जमैका क्रियोल
Jebero	Jebero
Jeh	जेह
Jeli	जेली
Jemez	जेमेज़
Jiarong	जिरोंग
Jibbali	जिबली
Jino	जिनो
Jivaro	जिवारो
Luwo	लुवो
Jamamadi	जममाड़ी
Jamsay	जमशेद
Jingpho	जिंगफो
Johari	जोहरी
Jomang	जोमांग
Japanese	जापानी
Japreria	जाप्रिया
Juruna	जरुना
Jarawa	जारवा
Jugli	जुगली
Ju|'hoan	जू | ’होन
Jukun	जुकुन
Juang	जुआंग
Jurchen	जुरचें
Jarawara	जरवरा
Kabardian	काबर्डियन
Kachari	कचहरी
Kadugli	कडुगली
Kaki Ae	काकी ऐ
Komering	कोमर्सिंग
Kaian	कायन
Kaure	कायर
Kamano-Kafe	कमनो-केफे
Kalami	कलमी
Kambera	कांबेरा
Kana	काना
Karao	करौ
Kela	केला
Kaurna	कौरना
Kara	कारा
Kashmiri	कश्मीरी
Kaulong	कौलोंग
Kayardild	काइरिल्ड
Kazakh	कजाख
Kamba	कम्मो
Kabui	कबुई
Kabyle	कबाइल
Kambot	कंबोट
Kayan	कायन
Kabatei	कबेटी
Kanembu	कानम्बू
Karen	करेन
Koyra Chiini	कोयरा चिनि
Konda	कोंडा
Karipuna	करिपुना
Kadazan	कदजन
Kanjobal	कंजोबाल
Kedang	केदांग
Kefa	केफा
Kei	केई
Kele	केल
Kemant	केमंत
Kenga	केंगा
Keo	कीओ
Kera	केरा
Ket	केत
Kenyah	केन्याहा
Kewa	केवा
Kriol	क्रियोल
Koromfe	कोरोमेफ़
Kirghiz	किर्गिज़
Kinga	राजा
Konyagi	कोन्यागी
Umbu Ungu	अम्बु उनग
Kagoma	कागोमा
Kagulu	कागुलु
Kangiryuarmiut	कांगिरयुर्मिउत
Kalkatungu	कालकातुंगु
Kyirong	क्यारॉन्ग
Kirghiz	किरघिज़
Khalkha	खलख
Kham	खम
Khaling	खलिंग
Khinalug	खिनालुग
Khakas	खाकस
Khalaj	खलज
Khmer	खमेर
Nama	नामा
Kharia	खारिया
Khasi	खासी
Khumi	खुमी
 Khwarshi	 ख्वारशी
Khowar	खोवार
Kickapoo	किकापू
Kire	कीर
Kitja	किटजा
Kikuyu	किकुयू
Kiluba	किलुबा
Kimaghama	किमगामा
Kinyarwanda	किन्नरवांडा
Kiowa	कीवा
Kalmyk	कलमीक
Kirma	किरमा
Kisi	केसी
Kitsai	कित्सई
Kui	कुई
Kiwai	किवी
Koreguaje	कोरेगुजे
Kurmanji	कुरमानजी
Kunjen	कुंजें
Konjo	कोंजो
Koorete	कुरेते
Konkomba	कोंकम्बा
Kata Kolok	काटा कोलोक
Konkani	कोंकणी
Koranko	कोरानको
Karakalpak	करकलपाक
Kirikiri	किरकिरी
Kokota	कोकोटा
Korku	कोरकू
Lusi	लुसी
Karankawa	करनकवा
Kankanay	कंकणय
Kokni	कोकनी
Klao	कलो
Kilba	किलबा
Kulung	कुलंग
Kalasha	कलशा
Kaili	कैली
Koh	कोह
Kaluli	कलौली
Klamath	कालमठ
Kolana	कोलाना
Kalapuya	कलापुया
Kalam	कलाम
Koluri	कोलुरी
Kalispel	कालिस्पेल
Kelabit	केलाबिट
Kilivila	किलिविला
Kiliwa	किलिवा
Kala Lagaw Ya	काल लगाव या
Kalanga	कलंगा
Kombai	कोम्बाई
Kham	खाम
Kami	कामी
Karimojong	करिमोंगोंग
Kalmyk	कलमीक
Kuman	कुमां
Koiali	कोयाली
Kunimaipa	कुणिमापा
Kamoro	कामोरो
Kamass	कामस
Kemtuik	केमटिक
Khmu'	खमु '
Kamu	कामू
Kamasau	कमसाऊ
Kanum	कानुम
Kugu Nganhcara	कुग नग्नेकारा
Kannada	कन्नड़
Kaingang	कायांग
Konni	कोनी
Kanakuru	कनकुरु
Kunama	कुनामा
Kinnauri	किन्नौरी
Kanum	कानुम
Kriol	क्रियोल
Kanuri	कनुरी
Konua	कोनुआ
Konkow	कोनको
Kham	खाम
Koasati	कोसती
Kobon	कोबोन
Kodava	कोदवा
Kohumono	कोहमोनो
Koiari	कोयरी
Kokborok	कोकबोरोक
Kolami	कोलमी
Komo	कोमो
Kongo	कोंगो
Kola	कोला
Komi-Permyak	कोमी-पर्म्याक
Korean	कोरियन
Kosraean	कोसराइन
Kota	कोटा
Kom	कोम
Ko	को
Koya	कोय
Kpan	कोपन
Kpelle	केपीएल
Kapampangan	कपमंगन
Kapingamarangi	कपिंगमारंगी
Kposo	कोप्सो
Karen	करेन
Krenak	Krenak
Kara	कारा
Kiribati	किरीबाती
Karachay-Balkar	करचाय-बलकार
Kurdish	कुर्द
Kresh	क्रेश
Korafe	कोराफे
Karanga	करंगा
Kipea	किपिया
Karadjeri	कराडजेरी
Karok	करोक
Karelian	करेलियन
Karaim	करीम
Korana	कोराना
Krongo	क्रोंगो
Kerek	केरेक
Kairiru	कैरीरू
Karata	कर्ता
Korowai	कोरोवाई
Koryak	Koryak
Kryz	क्रिज
Keresan	केरेसन
Koyraboro Senni	प्रमुख शीर्षक
Karen	करेन
Kashaya	कषाय
Ksingmul	किसिंगमुल
Kenyan Sign Language	केन्याई सांकेतिक भाषा
Kasem	कसम से
Kasong	कसौंग
Kosop	कोसोप
Kisar	किसार
Kisi	केसी
Kashubian	काशुबियन
Koita	कोइता
Kituba	किटुबा
Katcha	कत्था
Kete	केट
Kutchin	कच्छिन
Kati	कटि
Kotoko	कोटको
Katla	कतला
Kathlamet	कथालमेट
Ketengban	केटेंगबन
Kato	काटो
Ketapang	केतापंग
Kott	कोट्ट
Katu	कटु
Khanty	खांटी
Kati	कटि
Kualan	कुआलन
Kunming	कुनमिंग
Kui	कुई
Kullo	कुलो
Kumauni	कुमाउनी
Kuna	कुना
Kuot	कुओट
Kumyk	कुमीक
Kurukh	कुरुख
Kusunda	कुसुंडा
